date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-10-06,45.52916666666667,20.041666666666668,360.4166666666667,16.695833333333333,15.679166666666667,67.125,0.19125,37.958333333333336,1.8541666666666667,62.958333333333336,46.125
2022-10-07,66.17916666666666,37.300000000000004,617.7083333333334,27.2375,28.425,97.75,0.3045833333333334,30.833333333333332,1.6624999999999999,93.41666666666667,61.25
2022-10-08,75.21249999999999,49.020833333333336,543.2083333333334,25.829166666666666,26.412499999999998,130.41666666666666,0.3879166666666667,14.291666666666666,1.3145833333333334,138.83333333333334,76.54166666666667
2022-10-09,135.09166666666667,90.69166666666666,907.5833333333334,30.254166666666666,35.795833333333334,205.25,0.4191666666666667,14.958333333333334,1.4291666666666665,189.45833333333334,95.375
2022-10-10,96.42916666666667,59.012499999999996,1030.9166666666667,44.44583333333333,45.300000000000004,125.45833333333333,0.3233333333333333,29.833333333333332,1.575,183.95833333333334,105.45833333333333
2022-10-11,82.59583333333333,49.083333333333336,1067.5416666666667,49.19166666666666,51.145833333333336,107.04166666666667,0.2041666666666667,31.416666666666668,1.6624999999999999,157.25,82.58333333333333
2022-10-12,60.7125,36.57083333333333,895.0833333333334,40.28333333333333,38.1125,102.29166666666667,0.16208333333333333,17.958333333333332,1.5958333333333332,141.625,77.25
2022-10-13,41.854166666666664,24.229166666666668,674.9166666666666,32.43333333333333,27.941666666666666,85.58333333333333,0.17500000000000002,14.458333333333334,1.6270833333333332,94.58333333333333,64.20833333333333
2022-10-14,50.94166666666666,30.833333333333332,760.8333333333334,37.25416666666667,36.25,91.04166666666667,0.155,13.958333333333334,1.6208333333333333,94.16666666666667,63.166666666666664
2022-10-15,54.71666666666667,34.05416666666667,767.5416666666666,36.53333333333333,36.43333333333333,106.33333333333333,0.18458333333333332,12.166666666666666,1.5562500000000001,118.0,68.66666666666667
2022-10-16,76.37083333333334,49.00833333333333,893.0416666666666,37.295833333333334,37.13333333333333,136.75,0.22916666666666666,13.958333333333334,1.5562500000000001,144.79166666666666,75.29166666666667
2022-10-17,69.47916666666667,44.604166666666664,761.3333333333334,35.55833333333333,33.21666666666667,120.33333333333333,0.21333333333333335,13.75,1.4770833333333335,157.41666666666666,81.125
2022-10-18,45.88333333333333,25.545833333333334,556.0833333333334,26.97083333333333,26.075,84.0,0.20583333333333334,18.291666666666668,1.5541666666666665,106.5,70.04166666666667
2022-10-19,42.7875,22.004166666666666,434.625,22.933333333333334,20.229166666666668,82.45833333333333,0.25458333333333333,21.0,1.4312500000000001,74.875,55.125
2022-10-20,40.104166666666664,19.883333333333333,393.3333333333333,19.662499999999998,18.5625,92.33333333333333,0.28833333333333333,18.458333333333332,1.3875,73.95833333333333,48.75
2022-10-21,111.64166666666667,71.88333333333334,854.7083333333334,35.12916666666667,44.675000000000004,134.58333333333334,0.39125000000000004,18.916666666666668,1.34375,123.04166666666667,67.29166666666667
2022-10-22,121.5125,80.125,837.5833333333334,36.18333333333333,32.887499999999996,126.54166666666667,0.5183333333333333,20.083333333333332,1.1895833333333334,170.33333333333334,104.66666666666667
2022-10-23,157.08333333333334,106.10833333333333,1616.6666666666667,70.90833333333333,57.09166666666667,173.54166666666666,0.39625,14.375,1.2375,202.54166666666666,116.16666666666667
2022-10-24,45.875,27.445833333333336,540.0,23.900000000000002,23.495833333333334,97.33333333333333,0.2791666666666667,6.541666666666667,1.3166666666666667,153.29166666666666,99.0
2022-10-25,43.958333333333336,22.866666666666664,294.5,12.679166666666667,10.845833333333333,98.5,0.295,11.541666666666666,1.2874999999999999,72.45833333333333,51.958333333333336
2022-10-26,53.11666666666667,28.729166666666668,395.6666666666667,18.2125,15.704166666666666,100.29166666666667,0.37958333333333333,14.958333333333334,1.2770833333333333,81.20833333333333,60.291666666666664
2022-10-27,52.57083333333333,28.5625,472.4583333333333,23.34166666666667,20.641666666666666,92.375,0.42041666666666666,19.208333333333332,1.1916666666666667,86.125,63.25
2022-10-28,55.612500000000004,30.645833333333332,523.7083333333334,26.995833333333334,23.75,84.08333333333333,0.40458333333333335,21.333333333333332,1.0104166666666667,88.75,64.20833333333333
2022-10-29,56.4,32.766666666666666,772.0416666666666,38.833333333333336,31.05,83.58333333333333,0.27958333333333335,18.25,1.3062500000000001,94.95833333333333,65.79166666666667
2022-10-30,58.30833333333334,33.2125,814.5,42.016666666666666,31.333333333333332,80.95833333333333,0.24875,24.583333333333332,1.3541666666666667,95.45833333333333,66.0
2022-10-31,52.92916666666667,27.504166666666666,593.0,30.275000000000002,22.925,71.58333333333333,0.27458333333333335,29.833333333333332,1.3062500000000001,93.625,66.0
2022-11-01,45.2125,23.5125,386.6666666666667,18.616666666666667,13.720833333333333,86.625,0.32208333333333333,19.25,1.1770833333333333,77.16666666666667,58.125
2022-11-02,48.262499999999996,28.108333333333334,496.625,22.962500000000002,18.470833333333335,97.58333333333333,0.2854166666666667,10.958333333333334,1.2479166666666666,83.45833333333333,60.541666666666664
2022-11-03,47.39166666666667,29.1375,573.1666666666666,27.116666666666664,20.954166666666666,96.54166666666667,0.2125,7.0,1.3041666666666667,89.58333333333333,63.541666666666664
2022-11-04,42.67916666666667,26.03333333333333,559.1666666666666,27.229166666666668,21.65416666666667,88.70833333333333,0.15916666666666665,6.75,1.3958333333333333,83.79166666666667,62.541666666666664
2022-11-05,56.27916666666667,35.020833333333336,576.7083333333334,27.166666666666668,22.183333333333334,101.04166666666667,0.17833333333333334,6.0,1.3770833333333334,90.79166666666667,64.625
2022-11-06,61.708333333333336,39.454166666666666,528.625,26.520833333333332,21.058333333333334,96.625,0.25333333333333335,4.5,1.2541666666666667,106.375,70.33333333333333
2022-11-07,54.0625,33.458333333333336,532.5,26.241666666666664,23.25,96.0,0.4370833333333333,6.125,0.8937499999999999,106.125,70.25
2022-11-08,90.39583333333333,57.24583333333334,630.7916666666666,22.183333333333334,32.15833333333333,117.33333333333333,0.6508333333333333,20.583333333333332,0.9479166666666666,111.70833333333333,71.41666666666667
2022-11-09,96.56666666666666,61.25,815.7083333333334,28.175,41.229166666666664,126.625,0.55875,18.25,1.0333333333333334,160.75,92.625
2022-11-10,65.53333333333333,38.77916666666667,816.8333333333334,36.50416666666667,43.0375,97.66666666666667,0.35041666666666665,20.166666666666668,1.1312499999999999,127.16666666666667,76.70833333333333
2022-11-11,126.28333333333335,83.5125,1351.4166666666667,64.92916666666666,62.0875,85.91666666666667,0.5808333333333333,17.333333333333332,0.94375,141.16666666666666,85.16666666666667
2022-11-12,120.85000000000001,78.39166666666667,1431.6666666666667,68.8625,53.67083333333333,90.04166666666667,0.46416666666666667,18.333333333333332,0.9812500000000001,174.54166666666666,115.75
